#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 02 07 01 50  81  1.9  2.4 99.00 99.00 99.00 999 1022.5  11.9  13.3  10.1 99.0 99.00
2013 02 07 02 50  93  1.1  1.7 99.00 99.00 99.00 999 1022.9  12.0  12.9   9.8 99.0 99.00
2013 02 07 03 50 344  1.5  2.5 99.00 99.00 99.00 999 1022.7  12.1  12.6   9.6 99.0 99.00
2013 02 07 04 50 341  2.2  3.0 99.00 99.00 99.00 999 1023.3  12.2  12.3  10.0 99.0 99.00
2013 02 07 05 50 340  3.7  5.0 99.00 99.00 99.00 999 1023.1  12.1  12.2   9.5 99.0 99.00
2013 02 07 06 50 334  4.2  5.6 99.00 99.00 99.00 999 1022.7  11.1  11.7  10.1 99.0 99.00
2013 02 07 07 50 334  3.2  5.3 99.00 99.00 99.00 999 1022.6  11.1  11.4  10.1 99.0 99.00
2013 02 07 08 50 338  2.4  4.5 99.00 99.00 99.00 999 1022.3  10.9  11.2   9.8 99.0 99.00
2013 02 07 09 50  60  1.7  3.7 99.00 99.00 99.00 999 1022.3  10.7  11.0   9.5 99.0 99.00
2013 02 07 10 50  65  2.2  3.8 99.00 99.00 99.00 999 1022.4  10.9  11.0   9.7 99.0 99.00
2013 02 07 11 50  75  2.7  5.9 99.00 99.00 99.00 999 1022.8  11.0  11.0   9.6 99.0 99.00
2013 02 07 12 50 360  8.2 10.2 99.00 99.00 99.00 999 1022.7  11.1  11.6   9.3 99.0 99.00
2013 02 07 13 50  60  3.5  6.1 99.00 99.00 99.00 999 1023.0  11.5  11.9   9.6 99.0 99.00
2013 02 07 14 50  61  3.9  6.1 99.00 99.00 99.00 999 1023.1  11.6  12.1   9.4 99.0 99.00
2013 02 07 15 50  62  3.3  6.7 99.00 99.00 99.00 999 1022.4  12.1  12.6   9.5 99.0 99.00
2013 02 07 16 50  45  4.0  6.9 99.00 99.00 99.00 999 1021.7  12.2  13.0   9.4 99.0 99.00
2013 02 07 17 50  75  2.7  7.0 99.00 99.00 99.00 999 1020.3  12.3  13.0   9.7 99.0 99.00
2013 02 07 18 50  18  2.0  8.1 99.00 99.00 99.00 999 1019.3  12.2  12.7  10.3 99.0 99.00
2013 02 07 19 50  15  0.4  1.4 99.00 99.00 99.00 999 1018.0  12.7  12.7  10.9 99.0 99.00
2013 02 07 20 50  41  0.4  1.9 99.00 99.00 99.00 999 1017.3  12.3  12.4  11.3 99.0 99.00
